RiskPerformance,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance
Bad,70.0,176.0,7.0,66.0,7.0,0.0,0.0,100.0,-7.0,7.0,8.0,7.0,1.0,33.0,0.0,2.0,2.0,23.0,92.0,1.0,2.0,0.0,100.0
Bad,54.0,170.0,4.0,54.0,15.0,1.0,1.0,81.0,3.0,4.0,5.0,13.0,2.0,57.0,0.0,0.0,0.0,48.0,85.0,2.0,2.0,1.0,67.0
Bad,84.0,183.0,9.0,87.0,19.0,0.0,0.0,100.0,-7.0,7.0,8.0,19.0,1.0,38.0,0.0,1.0,1.0,23.0,-8.0,2.0,3.0,0.0,67.0
Bad,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
Bad,68.0,159.0,17.0,67.0,10.0,0.0,0.0,100.0,-7.0,7.0,8.0,10.0,0.0,60.0,-7.0,0.0,0.0,75.0,97.0,2.0,2.0,1.0,100.0
Good,86.0,125.0,5.0,60.0,11.0,0.0,0.0,88.0,-8.0,6.0,6.0,11.0,1.0,33.0,-7.0,2.0,2.0,3.0,-8.0,1.0,1.0,0.0,29.0
Bad,75.0,282.0,1.0,122.0,29.0,0.0,0.0,100.0,-7.0,7.0,8.0,29.0,2.0,10.0,0.0,0.0,0.0,48.0,-8.0,3.0,1.0,1.0,90.0
Good,71.0,-8.0,15.0,74.0,31.0,0.0,0.0,96.0,63.0,6.0,6.0,35.0,0.0,30.0,0.0,1.0,1.0,19.0,70.0,3.0,2.0,1.0,71.0
Good,87.0,156.0,4.0,65.0,33.0,0.0,0.0,100.0,-7.0,7.0,8.0,35.0,3.0,33.0,-7.0,0.0,0.0,0.0,-8.0,3.0,3.0,0.0,75.0
Good,54.0,120.0,3.0,60.0,19.0,1.0,0.0,84.0,3.0,4.0,5.0,19.0,3.0,21.0,0.0,4.0,4.0,46.0,50.0,7.0,3.0,1.0,86.0
Bad,61.0,168.0,7.0,62.0,25.0,1.0,1.0,86.0,4.0,4.0,6.0,25.0,3.0,33.0,0.0,2.0,2.0,62.0,-8.0,2.0,1.0,1.0,100.0
Good,77.0,200.0,5.0,71.0,31.0,0.0,0.0,100.0,-7.0,7.0,8.0,32.0,3.0,14.0,0.0,0.0,0.0,6.0,-8.0,2.0,1.0,0.0,53.0
Bad,83.0,367.0,10.0,123.0,29.0,0.0,0.0,100.0,-7.0,7.0,8.0,30.0,1.0,13.0,-7.0,0.0,0.0,7.0,-8.0,6.0,1.0,0.0,52.0
Good,70.0,150.0,4.0,65.0,31.0,0.0,0.0,94.0,42.0,6.0,6.0,33.0,2.0,30.0,0.0,0.0,0.0,16.0,-8.0,9.0,1.0,1.0,50.0
Good,83.0,152.0,13.0,57.0,16.0,0.0,0.0,96.0,14.0,6.0,6.0,16.0,0.0,45.0,20.0,0.0,0.0,6.0,95.0,2.0,3.0,0.0,67.0
Good,87.0,142.0,13.0,89.0,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,15.0,0.0,29.0,17.0,0.0,0.0,19.0,53.0,2.0,3.0,0.0,57.0
Good,82.0,164.0,15.0,70.0,11.0,0.0,0.0,88.0,-8.0,6.0,6.0,11.0,0.0,21.0,0.0,0.0,0.0,2.0,-8.0,2.0,1.0,0.0,44.0
Good,72.0,169.0,3.0,63.0,25.0,0.0,0.0,98.0,-7.0,7.0,6.0,27.0,3.0,35.0,0.0,0.0,0.0,53.0,91.0,4.0,2.0,0.0,57.0
Bad,87.0,178.0,7.0,68.0,14.0,0.0,0.0,100.0,-7.0,7.0,8.0,14.0,1.0,15.0,-7.0,0.0,0.0,0.0,-8.0,2.0,1.0,0.0,67.0
Bad,67.0,-8.0,17.0,56.0,5.0,1.0,1.0,100.0,-7.0,6.0,8.0,5.0,0.0,67.0,-7.0,1.0,1.0,-8.0,-8.0,-8.0,1.0,-8.0,100.0
Good,65.0,148.0,3.0,64.0,24.0,2.0,0.0,96.0,8.0,4.0,5.0,27.0,3.0,41.0,0.0,3.0,3.0,3.0,81.0,2.0,2.0,1.0,67.0
Bad,78.0,128.0,4.0,45.0,16.0,0.0,0.0,100.0,-7.0,7.0,8.0,16.0,1.0,4.0,1.0,1.0,1.0,6.0,-8.0,2.0,1.0,0.0,33.0
Good,88.0,164.0,2.0,92.0,22.0,0.0,0.0,100.0,-7.0,7.0,8.0,23.0,1.0,45.0,-7.0,1.0,1.0,3.0,100.0,1.0,3.0,0.0,75.0
Bad,68.0,158.0,12.0,80.0,15.0,1.0,1.0,100.0,-7.0,6.0,8.0,15.0,0.0,29.0,10.0,0.0,0.0,48.0,-8.0,6.0,-8.0,1.0,64.0
Good,62.0,184.0,20.0,80.0,17.0,0.0,0.0,97.0,57.0,6.0,6.0,17.0,0.0,15.0,0.0,0.0,0.0,66.0,-8.0,8.0,-8.0,1.0,71.0
Good,91.0,327.0,7.0,91.0,20.0,0.0,0.0,100.0,-7.0,7.0,8.0,20.0,1.0,15.0,0.0,0.0,0.0,0.0,-8.0,1.0,1.0,0.0,40.0
Bad,71.0,199.0,18.0,83.0,33.0,0.0,0.0,92.0,20.0,6.0,6.0,34.0,0.0,35.0,0.0,0.0,0.0,79.0,-8.0,6.0,1.0,3.0,100.0
Good,83.0,174.0,6.0,93.0,34.0,0.0,0.0,100.0,-7.0,7.0,7.0,36.0,2.0,24.0,-7.0,0.0,0.0,6.0,-8.0,4.0,1.0,0.0,86.0
Good,56.0,132.0,3.0,66.0,21.0,1.0,0.0,70.0,7.0,2.0,5.0,24.0,4.0,13.0,1.0,3.0,3.0,26.0,-8.0,3.0,1.0,0.0,67.0
Good,90.0,409.0,5.0,122.0,23.0,0.0,0.0,100.0,-7.0,7.0,8.0,23.0,1.0,19.0,4.0,0.0,0.0,1.0,-8.0,2.0,1.0,0.0,100.0
Bad,71.0,181.0,22.0,74.0,5.0,1.0,0.0,60.0,18.0,6.0,5.0,10.0,0.0,25.0,0.0,0.0,0.0,44.0,-8.0,4.0,1.0,1.0,50.0
Good,77.0,173.0,13.0,69.0,27.0,0.0,0.0,96.0,13.0,6.0,6.0,32.0,0.0,18.0,1.0,2.0,2.0,0.0,-8.0,5.0,1.0,0.0,33.0
Bad,73.0,163.0,4.0,77.0,19.0,1.0,1.0,92.0,3.0,4.0,5.0,19.0,3.0,25.0,19.0,0.0,0.0,49.0,-8.0,4.0,1.0,1.0,75.0
Good,75.0,180.0,8.0,64.0,39.0,0.0,0.0,100.0,-7.0,7.0,8.0,40.0,3.0,38.0,1.0,3.0,3.0,39.0,77.0,4.0,3.0,3.0,42.0
Good,70.0,-8.0,4.0,67.0,20.0,0.0,0.0,100.0,-7.0,7.0,8.0,21.0,4.0,50.0,0.0,2.0,2.0,46.0,78.0,5.0,4.0,2.0,92.0
Bad,68.0,165.0,3.0,73.0,12.0,0.0,0.0,100.0,-7.0,7.0,8.0,15.0,3.0,33.0,0.0,2.0,2.0,33.0,-8.0,2.0,2.0,1.0,100.0
Bad,73.0,169.0,3.0,58.0,16.0,0.0,0.0,100.0,-7.0,6.0,8.0,20.0,1.0,50.0,-7.0,0.0,0.0,72.0,90.0,3.0,2.0,1.0,90.0
Bad,60.0,183.0,2.0,61.0,35.0,0.0,0.0,100.0,-7.0,7.0,8.0,35.0,1.0,13.0,0.0,3.0,3.0,49.0,53.0,11.0,5.0,6.0,86.0
Good,86.0,176.0,16.0,123.0,17.0,0.0,0.0,93.0,-8.0,6.0,6.0,18.0,0.0,23.0,-8.0,0.0,0.0,2.0,-8.0,7.0,1.0,0.0,11.0
Good,68.0,200.0,6.0,81.0,17.0,0.0,0.0,92.0,11.0,4.0,6.0,18.0,1.0,33.0,7.0,0.0,0.0,3.0,-8.0,3.0,1.0,0.0,43.0
Bad,63.0,159.0,21.0,70.0,9.0,1.0,0.0,76.0,1.0,3.0,5.0,11.0,0.0,33.0,0.0,0.0,0.0,1.0,-8.0,2.0,-8.0,0.0,40.0
Good,77.0,-8.0,6.0,48.0,31.0,0.0,0.0,100.0,-7.0,7.0,8.0,0.0,4.0,57.0,0.0,0.0,0.0,23.0,-8.0,6.0,1.0,1.0,63.0
Good,80.0,206.0,3.0,74.0,13.0,0.0,0.0,100.0,-7.0,7.0,8.0,13.0,3.0,0.0,-7.0,1.0,1.0,4.0,-8.0,3.0,-8.0,0.0,20.0
Bad,69.0,177.0,4.0,79.0,22.0,0.0,0.0,100.0,-7.0,7.0,8.0,30.0,2.0,47.0,-7.0,0.0,0.0,51.0,95.0,2.0,5.0,1.0,50.0
Good,86.0,141.0,8.0,65.0,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,15.0,2.0,25.0,0.0,0.0,0.0,0.0,-8.0,1.0,-8.0,0.0,67.0
Good,88.0,143.0,10.0,75.0,22.0,0.0,0.0,100.0,-7.0,7.0,8.0,22.0,1.0,21.0,0.0,0.0,0.0,2.0,-8.0,3.0,1.0,0.0,67.0
Bad,71.0,158.0,2.0,58.0,18.0,1.0,1.0,100.0,-7.0,7.0,8.0,22.0,2.0,17.0,5.0,1.0,1.0,1.0,-8.0,3.0,1.0,0.0,50.0
Good,73.0,203.0,2.0,70.0,18.0,0.0,0.0,100.0,-7.0,7.0,8.0,18.0,3.0,45.0,6.0,2.0,2.0,44.0,77.0,5.0,4.0,0.0,85.0
Bad,63.0,170.0,2.0,63.0,27.0,2.0,2.0,86.0,41.0,6.0,6.0,29.0,5.0,40.0,0.0,0.0,0.0,31.0,-8.0,8.0,2.0,1.0,79.0
Good,77.0,-8.0,3.0,73.0,17.0,0.0,0.0,100.0,-7.0,7.0,8.0,0.0,2.0,18.0,0.0,0.0,0.0,4.0,-8.0,2.0,1.0,0.0,27.0
Good,91.0,161.0,6.0,85.0,21.0,0.0,0.0,100.0,-7.0,7.0,8.0,22.0,2.0,11.0,0.0,1.0,1.0,1.0,-8.0,1.0,-8.0,0.0,38.0
Good,76.0,191.0,2.0,77.0,35.0,0.0,0.0,97.0,22.0,6.0,6.0,35.0,1.0,19.0,0.0,4.0,4.0,16.0,-8.0,1.0,1.0,0.0,14.0
Bad,85.0,169.0,9.0,85.0,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,20.0,2.0,36.0,5.0,3.0,3.0,4.0,-8.0,1.0,2.0,0.0,100.0
Bad,70.0,391.0,12.0,139.0,9.0,1.0,1.0,60.0,3.0,4.0,3.0,10.0,0.0,29.0,0.0,0.0,0.0,42.0,-8.0,5.0,1.0,0.0,83.0
Good,75.0,158.0,6.0,54.0,25.0,0.0,0.0,100.0,-7.0,7.0,8.0,28.0,1.0,47.0,0.0,7.0,7.0,4.0,59.0,4.0,4.0,0.0,67.0
Good,72.0,186.0,33.0,97.0,33.0,1.0,1.0,93.0,5.0,4.0,6.0,34.0,0.0,25.0,-8.0,0.0,0.0,30.0,-8.0,2.0,1.0,0.0,33.0
Bad,78.0,178.0,1.0,76.0,10.0,0.0,0.0,100.0,-7.0,7.0,8.0,11.0,1.0,16.0,0.0,1.0,1.0,20.0,-8.0,3.0,1.0,1.0,57.0
Bad,84.0,203.0,50.0,97.0,30.0,0.0,0.0,100.0,-7.0,7.0,8.0,0.0,0.0,19.0,-8.0,1.0,1.0,7.0,-8.0,4.0,-8.0,1.0,75.0
Good,72.0,192.0,7.0,98.0,26.0,0.0,0.0,100.0,-7.0,7.0,8.0,26.0,1.0,23.0,0.0,0.0,0.0,6.0,-8.0,2.0,2.0,0.0,48.0
Bad,77.0,178.0,12.0,94.0,28.0,0.0,0.0,100.0,-7.0,7.0,8.0,48.0,0.0,27.0,0.0,1.0,1.0,25.0,-8.0,7.0,2.0,1.0,80.0
Bad,66.0,203.0,3.0,80.0,27.0,2.0,1.0,91.0,19.0,6.0,6.0,29.0,4.0,32.0,-7.0,1.0,1.0,59.0,-8.0,7.0,1.0,1.0,69.0
Good,63.0,152.0,9.0,60.0,27.0,2.0,0.0,92.0,9.0,4.0,5.0,45.0,2.0,48.0,0.0,1.0,1.0,99.0,74.0,4.0,6.0,3.0,100.0
Good,82.0,184.0,5.0,73.0,18.0,0.0,0.0,100.0,-7.0,7.0,8.0,18.0,1.0,39.0,0.0,1.0,1.0,3.0,-8.0,3.0,1.0,0.0,25.0
Good,72.0,182.0,3.0,82.0,25.0,0.0,0.0,100.0,-7.0,7.0,8.0,26.0,3.0,18.0,0.0,1.0,1.0,13.0,-8.0,4.0,1.0,0.0,77.0
Good,72.0,191.0,10.0,85.0,19.0,0.0,0.0,100.0,-7.0,7.0,8.0,19.0,1.0,31.0,0.0,1.0,1.0,71.0,73.0,3.0,2.0,1.0,89.0
Bad,72.0,306.0,33.0,93.0,14.0,0.0,0.0,100.0,-7.0,7.0,8.0,15.0,0.0,24.0,0.0,2.0,2.0,36.0,-8.0,4.0,1.0,1.0,56.0
Bad,80.0,232.0,6.0,87.0,24.0,0.0,0.0,100.0,-7.0,7.0,8.0,24.0,2.0,28.0,0.0,0.0,0.0,18.0,-8.0,4.0,2.0,1.0,83.0
Bad,78.0,79.0,9.0,53.0,25.0,0.0,0.0,100.0,-7.0,7.0,8.0,25.0,1.0,40.0,0.0,1.0,1.0,0.0,87.0,3.0,2.0,0.0,80.0
Bad,65.0,227.0,6.0,102.0,24.0,0.0,0.0,100.0,-7.0,7.0,8.0,24.0,1.0,60.0,0.0,0.0,0.0,-8.0,-8.0,2.0,2.0,-8.0,86.0
Good,88.0,144.0,11.0,74.0,12.0,0.0,0.0,100.0,-7.0,7.0,8.0,13.0,1.0,13.0,-7.0,1.0,1.0,11.0,-8.0,3.0,1.0,0.0,57.0
Good,60.0,153.0,12.0,58.0,22.0,0.0,0.0,89.0,2.0,4.0,6.0,23.0,0.0,15.0,0.0,0.0,0.0,63.0,-8.0,8.0,-8.0,4.0,100.0
Bad,73.0,169.0,5.0,76.0,43.0,0.0,0.0,100.0,-7.0,7.0,8.0,46.0,1.0,41.0,0.0,0.0,0.0,47.0,73.0,4.0,4.0,1.0,65.0
Bad,61.0,121.0,11.0,64.0,7.0,0.0,0.0,73.0,4.0,4.0,6.0,9.0,1.0,64.0,0.0,0.0,0.0,83.0,67.0,2.0,3.0,1.0,100.0
Good,83.0,161.0,15.0,102.0,23.0,0.0,0.0,89.0,44.0,6.0,6.0,24.0,0.0,33.0,-8.0,0.0,0.0,2.0,-8.0,2.0,-8.0,0.0,100.0
Bad,72.0,150.0,4.0,67.0,12.0,0.0,0.0,100.0,-7.0,7.0,8.0,12.0,3.0,41.0,-7.0,0.0,0.0,22.0,82.0,2.0,2.0,0.0,67.0
Bad,71.0,161.0,1.0,73.0,12.0,0.0,0.0,97.0,6.0,4.0,6.0,12.0,3.0,42.0,-7.0,2.0,2.0,42.0,-8.0,5.0,3.0,0.0,78.0
Good,65.0,196.0,6.0,79.0,20.0,1.0,0.0,60.0,2.0,4.0,5.0,20.0,1.0,22.0,0.0,0.0,0.0,13.0,-8.0,3.0,1.0,0.0,73.0
Good,82.0,187.0,1.0,76.0,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,16.0,2.0,47.0,0.0,1.0,1.0,29.0,93.0,2.0,4.0,1.0,67.0
Bad,63.0,117.0,2.0,40.0,50.0,0.0,0.0,75.0,22.0,6.0,6.0,6.0,3.0,23.0,3.0,2.0,2.0,66.0,-8.0,7.0,2.0,1.0,89.0
Bad,69.0,154.0,1.0,62.0,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,16.0,3.0,32.0,0.0,3.0,3.0,48.0,-8.0,4.0,5.0,3.0,63.0
Good,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
Good,85.0,218.0,1.0,98.0,29.0,0.0,0.0,100.0,-7.0,7.0,8.0,30.0,2.0,55.0,-8.0,0.0,0.0,19.0,85.0,3.0,5.0,1.0,78.0
Bad,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
Good,84.0,171.0,8.0,80.0,21.0,0.0,0.0,100.0,-7.0,7.0,8.0,21.0,4.0,23.0,0.0,0.0,0.0,9.0,100.0,4.0,2.0,0.0,60.0
Good,73.0,183.0,2.0,68.0,10.0,0.0,0.0,100.0,-7.0,7.0,8.0,13.0,2.0,23.0,0.0,1.0,1.0,45.0,83.0,4.0,2.0,1.0,75.0
Bad,64.0,124.0,8.0,59.0,4.0,1.0,1.0,88.0,44.0,6.0,5.0,5.0,0.0,58.0,0.0,0.0,0.0,91.0,-8.0,1.0,2.0,1.0,100.0
Bad,79.0,165.0,13.0,81.0,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,15.0,0.0,36.0,-8.0,0.0,0.0,14.0,-8.0,4.0,1.0,1.0,75.0
Bad,80.0,162.0,4.0,76.0,25.0,0.0,0.0,100.0,-7.0,7.0,8.0,26.0,2.0,45.0,0.0,1.0,1.0,21.0,91.0,2.0,2.0,0.0,60.0
Bad,67.0,181.0,26.0,58.0,6.0,1.0,1.0,85.0,22.0,6.0,2.0,8.0,0.0,55.0,0.0,1.0,1.0,24.0,47.0,2.0,3.0,1.0,65.0
Bad,65.0,133.0,2.0,60.0,25.0,0.0,0.0,100.0,-7.0,7.0,8.0,26.0,10.0,86.0,-7.0,3.0,3.0,42.0,49.0,2.0,5.0,-8.0,80.0
Bad,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,50.0
Good,88.0,199.0,12.0,75.0,31.0,0.0,0.0,100.0,-7.0,7.0,8.0,1.0,0.0,41.0,-7.0,0.0,0.0,0.0,-8.0,0.0,1.0,0.0,26.0
Good,92.0,131.0,3.0,80.0,7.0,0.0,0.0,84.0,56.0,6.0,6.0,7.0,1.0,0.0,0.0,1.0,1.0,3.0,-8.0,2.0,1.0,0.0,67.0
Good,89.0,152.0,14.0,66.0,17.0,0.0,0.0,100.0,-7.0,7.0,8.0,17.0,0.0,50.0,0.0,1.0,1.0,1.0,-8.0,3.0,1.0,0.0,80.0
Bad,71.0,169.0,8.0,90.0,13.0,0.0,0.0,100.0,-7.0,7.0,8.0,14.0,1.0,44.0,-7.0,0.0,0.0,81.0,-8.0,2.0,-8.0,2.0,100.0
Bad,75.0,120.0,2.0,49.0,9.0,0.0,0.0,100.0,-7.0,7.0,8.0,10.0,2.0,63.0,0.0,2.0,2.0,8.0,95.0,2.0,2.0,0.0,75.0
Bad,55.0,128.0,3.0,66.0,10.0,1.0,1.0,50.0,1.0,4.0,6.0,10.0,1.0,50.0,0.0,1.0,1.0,73.0,68.0,7.0,4.0,1.0,79.0
Bad,84.0,-8.0,5.0,70.0,15.0,0.0,0.0,100.0,-7.0,7.0,8.0,16.0,1.0,45.0,-7.0,0.0,0.0,9.0,83.0,2.0,2.0,0.0,56.0
Bad,60.0,151.0,3.0,50.0,34.0,0.0,0.0,100.0,-7.0,7.0,8.0,36.0,7.0,32.0,0.0,1.0,1.0,93.0,88.0,9.0,4.0,6.0,100.0
Bad,75.0,190.0,2.0,69.0,39.0,0.0,0.0,94.0,3.0,4.0,6.0,43.0,4.0,41.0,0.0,3.0,2.0,9.0,-8.0,2.0,1.0,1.0,43.0
Bad,74.0,206.0,5.0,66.0,17.0,0.0,0.0,100.0,-7.0,7.0,8.0,17.0,1.0,32.0,4.0,1.0,1.0,91.0,-8.0,3.0,1.0,1.0,100.0
Bad,84.0,148.0,7.0,43.0,13.0,0.0,0.0,100.0,-7.0,7.0,8.0,13.0,1.0,38.0,0.0,0.0,0.0,17.0,63.0,4.0,3.0,0.0,75.0
Bad,68.0,169.0,3.0,71.0,21.0,0.0,0.0,77.0,2.0,4.0,6.0,22.0,1.0,24.0,0.0,0.0,0.0,28.0,75.0,2.0,2.0,1.0,60.0
Bad,83.0,203.0,1.0,84.0,24.0,0.0,0.0,100.0,-7.0,7.0,8.0,24.0,3.0,0.0,-7.0,0.0,0.0,6.0,-8.0,4.0,-8.0,0.0,73.0
Good,79.0,327.0,7.0,122.0,11.0,0.0,0.0,93.0,46.0,6.0,6.0,11.0,1.0,58.0,9.0,0.0,0.0,22.0,-8.0,2.0,1.0,0.0,80.0
Good,82.0,51.0,8.0,46.0,6.0,0.0,0.0,100.0,-7.0,7.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,6.0,-8.0,1.0,-8.0,0.0,33.0
Good,76.0,172.0,8.0,72.0,28.0,0.0,0.0,100.0,-7.0,7.0,8.0,29.0,1.0,48.0,-7.0,1.0,1.0,14.0,100.0,6.0,5.0,1.0,75.0
Good,78.0,206.0,3.0,90.0,25.0,0.0,0.0,100.0,-7.0,7.0,8.0,26.0,2.0,55.0,0.0,1.0,1.0,10.0,-8.0,5.0,2.0,0.0,80.0
Good,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0
Good,75.0,199.0,9.0,111.0,24.0,0.0,0.0,94.0,1.0,4.0,6.0,26.0,2.0,44.0,0.0,0.0,0.0,42.0,-8.0,2.0,1.0,1.0,75.0
Good,72.0,206.0,3.0,82.0,18.0,0.0,0.0,100.0,-7.0,7.0,8.0,18.0,3.0,19.0,-7.0,2.0,2.0,53.0,100.0,6.0,2.0,1.0,80.0
Bad,75.0,262.0,4.0,90.0,34.0,0.0,0.0,94.0,6.0,4.0,6.0,35.0,2.0,17.0,0.0,1.0,1.0,48.0,-8.0,4.0,2.0,0.0,36.0
Good,85.0,214.0,0.0,101.0,17.0,0.0,0.0,100.0,-7.0,7.0,8.0,17.0,4.0,25.0,0.0,1.0,1.0,5.0,87.0,1.0,2.0,0.0,50.0
Good,80.0,-8.0,13.0,113.0,12.0,0.0,0.0,100.0,-7.0,7.0,8.0,14.0,0.0,30.0,0.0,0.0,0.0,36.0,-8.0,4.0,1.0,1.0,67.0
Good,79.0,214.0,5.0,96.0,22.0,0.0,0.0,100.0,-7.0,7.0,8.0,23.0,3.0,28.0,-7.0,0.0,0.0,19.0,79.0,2.0,5.0,0.0,44.0
Good,78.0,132.0,4.0,84.0,22.0,0.0,0.0,100.0,-7.0,7.0,8.0,23.0,1.0,34.0,0.0,1.0,1.0,20.0,74.0,6.0,2.0,2.0,70.0
Bad,84.0,197.0,2.0,86.0,37.0,0.0,0.0,100.0,-7.0,7.0,8.0,36.0,4.0,32.0,0.0,0.0,0.0,23.0,93.0,5.0,1.0,0.0,78.0
Good,76.0,167.0,13.0,83.0,20.0,0.0,0.0,90.0,14.0,6.0,6.0,20.0,0.0,19.0,0.0,2.0,2.0,17.0,-8.0,2.0,1.0,0.0,80.0
Bad,61.0,206.0,11.0,78.0,25.0,0.0,0.0,96.0,19.0,6.0,6.0,25.0,1.0,33.0,-7.0,1.0,1.0,77.0,-8.0,8.0,1.0,4.0,92.0
Good,79.0,206.0,4.0,89.0,36.0,0.0,0.0,100.0,-7.0,7.0,8.0,44.0,2.0,63.0,0.0,1.0,1.0,26.0,50.0,1.0,4.0,0.0,67.0
Bad,62.0,140.0,4.0,50.0,14.0,0.0,0.0,100.0,-7.0,7.0,8.0,14.0,4.0,26.0,9.0,0.0,0.0,74.0,-8.0,6.0,1.0,2.0,75.0
Good,91.0,150.0,15.0,73.0,16.0,0.0,0.0,100.0,-7.0,7.0,8.0,16.0,0.0,32.0,8.0,0.0,0.0,2.0,-8.0,3.0,1.0,0.0,41.0
Good,82.0,-8.0,14.0,89.0,12.0,0.0,0.0,100.0,-7.0,7.0,8.0,12.0,0.0,38.0,2.0,4.0,4.0,1.0,79.0,3.0,2.0,0.0,50.0
Bad,73.0,255.0,7.0,73.0,24.0,0.0,0.0,100.0,-7.0,7.0,8.0,25.0,1.0,11.0,0.0,1.0,0.0,42.0,-8.0,6.0,-8.0,2.0,69.0
