Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2009-06-30,Brisbane,13.5,21.3,0.0,,,WSW,30.0,WNW,WNW,11.0,28.0,92.0,46.0,1012.1,1011.4,,,19.5,19.4,No,Yes
2017-04-07,Hobart,10.8,14.0,0.0,8.6,11.1,N,30.0,N,N,30.0,20.0,63.0,49.0,1003.7,1005.7,1.0,2.0,11.8,13.7,No,Yes
2014-11-07,MountGambier,15.4,23.2,2.2,1.0,7.5,NW,39.0,NNW,NNW,13.0,11.0,76.0,62.0,1022.4,1019.8,3.0,7.0,20.4,22.2,No,No
2016-03-13,Adelaide,11.1,26.7,0.0,4.0,9.5,S,52.0,W,WNW,13.0,19.0,66.0,62.0,1010.5,1012.7,4.0,6.0,14.7,21.9,Yes,No
2017-01-12,NorahHead,0.0,19.7,0.0,,,S,45.0,SE,SSE,4.0,17.0,61.0,72.0,,,,,13.4,19.9,No,No
2016-07-16,Bendigo,6.0,20.4,,,,SSW,28.0,SW,ENE,17.0,16.0,57.0,39.0,1016.8,1014.1,,,6.9,18.3,No,No
2013-03-27,Watsonia,11.4,23.9,0.0,,,ESE,24.0,NNW,SE,11.0,13.0,68.0,59.0,1031.6,1030.8,,,10.4,22.5,Yes,Yes
2014-04-16,MelbourneAirport,9.0,26.1,0.0,,,S,37.0,SSE,N,7.0,37.0,76.0,72.0,1005.9,1008.4,,,24.8,16.0,No,No
2015-03-23,BadgerysCreek,19.7,23.7,0.0,,,WSW,41.0,WSW,ESE,9.0,28.0,75.0,53.0,1009.0,1006.0,4.0,5.0,21.1,12.0,No,No
2016-02-03,Newcastle,7.6,17.1,0.0,,,WNW,19.0,NW,NW,11.0,2.0,76.0,52.0,1008.3,1011.4,,1.0,13.4,15.1,No,Yes
2009-12-28,NorahHead,7.2,16.2,0.0,,,SSE,31.0,SSW,WSW,0.0,13.0,74.0,43.0,,,,,12.1,13.5,No,No
2013-04-05,Brisbane,11.8,21.5,0.0,,,ESE,,ENE,W,9.0,7.0,66.0,57.0,1023.1,1025.4,,,11.1,20.1,No,No
2013-12-17,Sydney,,,0.0,,,N,,NNE,N,15.0,9.0,,,,,,,,,No,No
2014-10-08,SydneyAirport,8.4,20.1,0.0,,,SE,35.0,SE,SSE,17.0,26.0,71.0,79.0,1016.9,1022.5,,,11.9,20.0,No,No
2017-02-20,Witchcliffe,16.4,17.0,0.0,,,SSW,19.0,WSW,SSW,9.0,20.0,74.0,74.0,1026.5,1027.0,,,17.1,15.6,No,No
2015-12-10,Mildura,7.7,29.0,19.0,7.6,7.6,S,39.0,WNW,W,20.0,15.0,86.0,100.0,1018.9,1019.2,2.0,1.0,28.6,27.9,Yes,Yes
2015-09-12,Adelaide,6.0,18.0,0.4,,,ESE,61.0,E,E,28.0,15.0,77.0,,1020.6,1020.5,2.0,6.0,15.8,18.6,No,No
2011-06-22,Richmond,19.2,39.3,0.0,1.8,7.8,E,37.0,E,S,19.0,28.0,69.0,75.0,1018.2,1011.7,7.0,1.0,28.9,38.6,No,Yes
2015-05-03,NorfolkIsland,19.2,22.1,0.4,8.2,8.6,NNW,46.0,S,SE,26.0,24.0,99.0,98.0,1018.1,1010.5,3.0,7.0,17.3,23.7,No,No
2015-12-25,Brisbane,7.0,22.7,0.0,,,NE,28.0,NE,NE,7.0,7.0,66.0,35.0,,,,,16.9,18.5,Yes,No
2014-04-04,PearceRAAF,18.0,23.4,0.0,1.8,10.1,S,48.0,SSE,W,9.0,22.0,94.0,71.0,1005.0,1009.4,8.0,8.0,16.6,20.8,Yes,No
2013-06-04,SalmonGums,13.2,19.1,0.0,,,W,33.0,SSW,W,6.0,22.0,69.0,72.0,1016.4,1017.3,7.0,8.0,13.4,19.2,No,Yes
2009-10-28,Newcastle,2.4,26.2,15.0,,,WNW,30.0,SW,WNW,24.0,20.0,61.0,54.0,1018.9,1014.4,6.0,7.0,16.8,25.7,No,Yes
2016-07-27,Mildura,11.2,26.7,0.0,,,E,,E,E,11.0,28.0,72.0,55.0,1017.5,1015.6,0.0,7.0,17.2,25.0,No,No
2014-12-20,PerthAirport,16.9,32.2,0.0,1.2,2.2,NNE,17.0,NW,WNW,4.0,7.0,99.0,70.0,1026.2,1026.6,2.0,1.0,25.8,32.9,No,No
2011-02-17,MountGambier,14.8,22.2,0.0,,,E,17.0,S,S,7.0,17.0,69.0,51.0,1010.5,1010.1,,,18.4,22.5,Yes,Yes
2011-10-19,MelbourneAirport,7.2,15.4,0.0,,,NE,46.0,NE,NNW,15.0,20.0,83.0,92.0,1028.6,1028.7,,,13.4,15.5,No,No
2015-02-05,CoffsHarbour,10.3,10.7,0.0,,,NE,43.0,ENE,SE,13.0,9.0,59.0,63.0,1010.1,1019.2,,,9.1,10.9,No,No
2010-05-13,Canberra,10.8,19.3,0.2,2.0,0.9,NW,39.0,W,W,20.0,23.0,54.0,31.0,1020.9,1020.9,7.0,8.0,12.3,15.1,No,No
2011-12-04,Woomera,12.4,28.6,0.0,4.9,,SE,41.0,SW,SE,17.0,31.0,56.0,49.0,1019.6,1013.5,1.0,3.0,24.4,26.4,No,No
2009-10-22,Richmond,,,0.0,,,,,ESE,ESE,15.0,22.0,84.0,,,,,,,,Yes,No
2013-04-24,SalmonGums,13.1,17.6,,,,E,37.0,E,ENE,0.0,11.0,66.0,33.0,1024.4,1021.8,,,16.3,14.1,,No
2013-05-01,Wollongong,9.6,24.8,0.0,,,,,SE,N,22.0,11.0,57.0,48.0,1011.0,1011.6,,,19.6,21.2,No,No
2016-03-26,Sydney,20.8,25.5,0.0,,,NW,44.0,NW,NW,22.0,26.0,88.0,69.0,1009.7,1006.9,,,20.0,25.0,No,No
2009-10-16,Dartmoor,8.2,15.7,0.0,,,WNW,37.0,ESE,SW,9.0,9.0,87.0,42.0,1016.9,1010.0,8.0,,11.0,14.1,Yes,Yes
2009-12-19,Woomera,9.3,19.4,0.0,,10.4,NNE,40.0,NNW,NNW,9.0,19.0,43.0,35.0,1019.6,1018.5,,,11.2,19.9,No,No
2010-12-08,SalmonGums,10.3,10.7,0.0,,,N,54.0,NNW,N,7.0,11.0,67.0,61.0,,,,,6.2,10.8,Yes,Yes
2013-10-12,Albany,8.8,14.9,0.0,,,WSW,39.0,E,NW,9.0,11.0,52.0,37.0,1008.9,1015.6,,,9.0,10.2,No,No
2016-10-04,Nhil,0.1,25.0,0.0,,,WNW,,,ESE,9.0,9.0,67.0,59.0,1023.1,1023.0,,,19.2,23.6,No,No
2015-07-22,Dartmoor,6.3,15.0,0.0,,,E,41.0,E,NE,15.0,20.0,68.0,49.0,1011.0,1017.1,1.0,1.0,6.7,13.0,No,No
2014-06-16,NorahHead,12.1,17.4,0.0,,,S,31.0,SSE,S,9.0,13.0,57.0,48.0,1006.0,1009.6,,,11.4,15.9,No,No
2011-05-05,Rainfall,9.8,19.1,0.0,,,N,56.0,NNE,NNW,15.0,37.0,50.0,54.0,,,,,13.6,19.8,No,No
2013-09-04,Woomera,20.9,26.9,,4.8,10.4,WSW,46.0,NE,N,19.0,17.0,72.0,63.0,1018.3,1018.9,7.0,7.0,25.3,24.4,No,Yes
2009-11-02,Mildura,16.1,30.4,0.0,4.0,,ENE,37.0,SE,SSE,11.0,22.0,71.0,78.0,1019.7,1016.2,1.0,8.0,26.4,27.9,Yes,Yes
2016-08-25,Bendigo,18.9,24.5,0.0,7.3,11.7,SSW,30.0,SSW,SSW,13.0,28.0,71.0,63.0,1010.1,1018.7,8.0,8.0,18.3,23.6,No,No
2012-10-04,Cobar,19.7,33.2,0.2,,,ESE,39.0,SSE,ESE,9.0,24.0,65.0,51.0,1019.2,1013.4,8.0,8.0,28.0,30.8,No,No
2011-01-27,Albany,13.6,24.5,0.0,,,W,39.0,W,W,17.0,13.0,78.0,18.0,,,,,18.1,19.4,No,No
2016-07-10,Hobart,,18.8,0.0,,,NW,,SE,SE,19.0,22.0,85.0,60.0,,,,,14.4,17.7,No,No
2014-02-24,Darwin,11.5,17.5,0.0,3.4,10.9,ENE,24.0,E,SE,7.0,9.0,65.0,57.0,1026.4,1025.4,1.0,2.0,22.5,18.0,Yes,Yes
2009-03-20,SydneyAirport,6.6,14.6,0.0,,,NNW,31.0,NW,NW,17.0,19.0,56.0,51.0,1021.2,1017.9,6.0,,14.7,14.8,Yes,Yes
2011-02-01,SalmonGums,10.3,13.7,0.0,,,SSE,39.0,SSE,SW,9.0,6.0,85.0,69.0,,,,,10.5,11.3,No,No
2009-04-11,NorahHead,13.6,16.1,0.4,,,WNE,22.0,WNW,W,0.0,15.0,81.0,82.0,1005.3,1009.7,,,14.6,15.9,No,No
2014-05-25,Newcastle,7.6,21.8,0.0,3.8,1.1,,41.0,WSW,NNW,24.0,26.0,79.0,91.0,1010.1,1016.1,3.0,7.0,19.0,21.3,No,No
2016-01-05,SydneyAirport,11.1,18.9,0.0,,,E,41.0,E,E,4.0,24.0,60.0,71.0,1019.9,1017.3,6.0,4.0,16.9,16.1,No,No
2010-08-04,SalmonGums,10.2,28.3,0.0,7.6,4.9,ENE,35.0,E,E,13.0,9.0,69.0,21.0,1028.2,1028.4,6.0,6.0,21.5,21.6,No,No
2010-03-17,MountGambier,8.7,15.0,0.0,,,WSW,39.0,WNW,WSW,22.0,7.0,87.0,43.0,1020.6,1023.7,8.0,8.0,12.5,15.3,No,No
2017-12-25,Brisbane,9.7,12.3,0.0,,,S,48.0,E,E,9.0,9.0,75.0,65.0,1023.9,1025.0,7.0,8.0,9.4,14.9,No,No
2012-10-02,Woomera,12.0,28.2,0.0,,,NW,,,ESE,11.0,28.0,,,1010.4,1010.2,,,23.2,28.4,No,No
2015-09-21,Darwin,7.8,11.9,0.0,8.6,7.5,WNW,17.0,WSW,WSW,19.0,16.0,51.0,60.0,1027.5,1026.5,2.0,7.0,11.3,11.8,No,No
2013-06-19,Townsville,14.4,24.5,0.0,,,N,31.0,N,NE,20.0,17.0,76.0,27.0,,,,,17.2,28.4,No,No
2010-04-08,GoldCoast,,,0.0,,,,,NE,ESE,7.0,9.0,,,,,,,,,No,No
2011-12-24,SalmonGums,8.9,18.5,0.0,2.0,2.5,NNW,31.0,NNE,SSW,11.0,13.0,57.0,49.0,1031.5,1029.9,0.0,0.0,11.9,18.6,No,No
2012-08-17,Dartmoor,6.5,16.3,0.0,0.8,,E,31.0,E,E,13.0,13.0,99.0,48.0,1021.3,1010.4,,,13.1,15.6,No,No
2011-10-08,Townsville,30.6,34.1,0.2,,,E,35.0,SE,E,11.0,15.0,76.0,52.0,1019.7,1010.3,6.0,1.0,28.7,31.0,No,No
2014-07-22,Sydney,21.5,36.3,8.4,7.5,,SE,34.0,SW,SSE,9.0,20.0,61.0,44.0,1011.2,1017.5,7.0,7.0,23.0,23.5,No,Yes
2015-05-16,Ballarat,16.6,23.0,0.0,,,NNW,37.0,N,E,24.0,19.0,100.0,81.0,1012.9,1018.9,8.0,6.0,20.6,22.6,Yes,Yes
2013-06-26,Penrith,21.6,29.2,0.0,,,N,,WSW,,,,,52.0,,,,,16.6,24.2,Yes,Yes
2010-12-05,Albany,16.8,18.2,0.0,5.0,7.8,,,W,W,20.0,24.0,79.0,50.0,1018.0,1013.5,,,17.7,17.0,Yes,Yes
2014-02-11,SydneyAirport,21.1,30.2,0.2,,,SE,26.0,WNW,SE,15.0,6.0,65.0,70.0,1017.1,1019.2,,,24.1,28.1,Yes,Yes
2015-10-26,Townsville,11.9,32.2,1.0,,,NNW,37.0,NNW,NNW,20.0,15.0,77.0,62.0,1026.5,1015.5,4.0,4.0,21.5,33.3,No,Yes
2014-09-23,SalmonGums,8.6,21.5,0.0,,,SSW,35.0,SSW,ENE,16.0,24.0,90.0,89.0,1014.9,1005.4,,,15.4,20.1,No,No
2010-07-12,Wollongong,10.5,21.7,0.0,,,S,31.0,W,WSW,43.0,19.0,81.0,67.0,1013.6,1011.9,,,12.8,16.9,No,No
2013-03-10,Darwin,17.0,35.1,0.0,,,WNW,43.0,W,W,13.0,31.0,63.0,46.0,1015.7,1014.2,,,13.4,22.0,Yes,Yes
2011-10-16,Townsville,14.2,34.7,0.0,,,W,30.0,ENE,E,13.0,20.0,61.0,76.0,1011.4,1016.0,,,30.8,32.2,No,No
2014-01-25,Sale,21.4,31.7,0.0,,,W,28.0,N,S,20.0,13.0,66.0,35.0,1019.9,1012.2,,,29.6,31.3,No,No
2014-07-25,Darwin,9.3,17.7,,,,,,,,13.0,17.0,84.0,,,,1.0,,16.1,16.7,No,Yes
2017-05-15,Moree,7.9,23.0,,,,NNW,33.0,N,NNW,12.0,20.0,63.0,63.0,1019.0,1012.7,,,19.0,23.7,Yes,Yes
2009-05-04,Melbourne,11.1,12.9,2.0,,,S,,SSE,S,15.0,19.0,94.0,33.0,,,,,11.0,13.9,No,No
2012-05-07,NorahHead,8.3,14.4,1.2,,,W,15.0,W,,6.0,15.0,92.0,57.0,,,,,13.2,11.1,Yes,Yes
2012-12-10,Newcastle,8.4,17.4,0.0,,,N,,N,NNE,3.0,11.0,,,1007.3,1014.9,,,10.2,,No,No
2011-12-08,Newcastle,3.5,13.3,0.0,4.6,,,,,ESE,39.0,11.0,72.0,,,,5.0,3.0,11.3,11.3,No,No
2015-03-07,Hobart,11.1,22.2,0.0,,,,,WNW,W,6.0,19.0,66.0,43.0,1018.2,1018.9,1.0,3.0,15.6,16.7,No,No
2015-10-19,NorahHead,18.3,30.2,0.0,,,SSE,56.0,S,S,22.0,22.0,71.0,54.0,1018.3,1016.3,,,24.3,28.1,No,No
2014-06-18,Mildura,11.4,17.6,0.0,4.6,8.2,NNE,48.0,N,N,13.0,39.0,65.0,53.0,1012.3,1008.6,8.0,8.0,10.9,16.1,No,No
2012-12-10,PerthAirport,24.6,36.2,0.0,6.2,6.6,W,39.0,W,W,13.0,28.0,72.0,28.0,1021.1,1021.5,6.0,1.0,21.2,21.0,No,No
2010-12-20,Walpole,6.0,15.7,0.0,1.4,9.1,NE,,NW,,19.0,41.0,89.0,60.0,1018.3,1012.1,1.0,1.0,6.4,15.4,No,Yes
2017-08-11,Watsonia,9.6,12.5,0.2,,,NW,31.0,NW,NNW,17.0,22.0,88.0,10.0,1012.6,1012.4,,,9.3,12.6,Yes,No
2017-04-04,Moree,7.6,16.0,0.0,,,WNW,41.0,NNE,N,6.0,16.0,75.0,50.0,1011.3,1012.4,2.0,0.0,13.6,14.6,No,No
2014-04-25,Canberra,4.6,,0.2,,,SSE,26.0,S,SSE,9.0,31.0,,,,,,,,,No,No
2016-03-01,Townsville,,,0.0,,,SSE,,SSE,SSE,0.0,0.0,,,,,,,,,No,No
2014-04-25,Hobart,9.3,18.1,14.2,,,SW,41.0,SSW,SW,17.0,22.0,87.0,76.0,1008.4,1008.6,1.0,5.0,11.6,18.1,Yes,Yes
2011-11-04,Penrith,16.1,22.2,18.0,2.8,,N,33.0,WNW,SSE,11.0,22.0,,,1017.0,1016.9,1.0,,19.9,,Yes,Yes
2012-08-31,Darwin,8.6,11.0,0.0,,,E,61.0,ENE,ENE,9.0,19.0,89.0,60.0,1017.2,1017.2,6.0,1.0,6.4,10.7,No,No
2009-01-12,Williamtown,6.1,21.6,0.0,2.6,9.8,E,35.0,S,E,13.0,20.0,55.0,54.0,1027.7,1027.4,1.0,2.0,12.6,21.0,Yes,Yes
2016-09-23,Newcastle,13.7,20.2,0.0,,,SSW,35.0,SSW,SSW,23.0,17.0,100.0,63.0,1006.8,1009.7,,,20.1,20.1,No,No
2016-10-25,Sydney,20.6,25.6,0.0,6.0,,S,35.0,WSW,SSE,0.0,17.0,89.0,44.0,1027.5,1014.5,8.0,5.0,25.4,24.8,No,No
2009-12-01,Uluru,13.3,33.8,0.0,,,NNW,31.0,NNE,N,7.0,7.0,73.0,71.0,1016.0,1021.4,,,23.0,31.3,No,No
2011-08-31,Newcastle,19.9,32.9,0.0,,,ESE,24.0,SE,E,15.0,19.0,58.0,59.0,1020.0,1020.8,,,30.2,30.4,No,No
2014-05-20,Launceston,13.9,28.5,0.0,,,W,20.0,NW,W,15.0,19.0,89.0,55.0,1013.0,1017.5,,,20.1,28.6,No,No
2013-01-01,Watsonia,4.8,19.5,0.0,,,W,35.0,W,WSW,28.0,24.0,46.0,43.0,1023.3,1023.6,6.0,3.0,11.7,15.6,No,No
2015-05-23,MelbourneAirport,13.0,27.4,0.0,,,SSE,41.0,ESE,ESE,13.0,19.0,56.0,30.0,1018.4,1013.3,,,16.7,28.2,No,No
2013-06-15,Sydney,3.4,,2.0,,,,,,,,,,,,,,,10.1,,No,Yes
2010-09-25,Canberra,8.3,,,,,NNE,,NNW,N,7.0,4.0,100.0,,,,,,14.8,,Yes,Yes
2009-08-08,MountGinini,4.1,20.7,0.0,,,SE,31.0,NE,SE,11.0,11.0,64.0,39.0,1014.0,1014.1,,,6.8,19.2,Yes,Yes
2013-11-16,PearceRAAF,22.3,29.6,0.0,,,W,43.0,SSW,WNW,17.0,6.0,60.0,88.0,1015.4,1019.3,,,24.3,31.2,No,No
2009-05-12,GoldCoast,9.2,15.0,0.0,8.2,,SSE,61.0,SSE,SSW,24.0,28.0,62.0,99.0,1006.3,1007.1,7.0,7.0,14.7,15.2,No,No
2016-07-04,Launceston,2.1,20.0,0.0,,,WSW,39.0,SSW,SE,20.0,28.0,46.0,43.0,,,,,15.6,19.6,No,No
2009-08-01,Portland,13.2,30.1,0.0,,,E,41.0,ENE,E,20.0,22.0,78.0,,,,,,23.3,30.9,No,No
2015-08-07,Sale,19.3,29.3,0.0,,,SE,26.0,ESE,,19.0,13.0,,,1014.8,1016.8,,,22.0,27.2,No,No
2009-11-04,Dartmoor,11.7,18.5,0.0,,,NW,41.0,W,WSW,22.0,17.0,75.0,61.0,1012.3,1012.4,6.0,6.0,12.0,18.2,No,No
2013-05-28,Cobar,14.7,11.4,0.0,,,,,,,11.0,,63.0,,1025.7,1025.2,,,17.9,10.0,No,No
2015-05-03,Ballarat,19.2,34.5,,,,ENE,31.0,,E,17.0,25.0,63.0,53.0,1014.4,1019.7,5.0,,28.6,35.7,No,Yes
2015-04-16,SalmonGums,11.9,14.6,0.2,,,NW,33.0,N,NE,9.0,7.0,82.0,92.0,1018.4,1012.3,,,15.7,13.9,No,Yes
2011-06-28,Portland,9.7,23.8,0.0,,,W,44.0,WNW,W,11.0,11.0,69.0,50.0,1015.9,1016.5,,,14.8,21.9,Yes,No
2016-01-15,Melbourne,8.8,17.5,0.0,2.6,5.4,NNE,24.0,N,ENE,24.0,26.0,46.0,43.0,1026.0,1023.3,8.0,6.0,16.4,14.6,No,Yes
2009-03-08,WaggaWagga,7.3,17.1,4.8,,,,,NW,,3.0,15.0,92.0,,,,,,8.5,9.8,No,Yes
2011-07-30,Watsonia,13.8,16.4,0.0,4.4,3.5,ENE,37.0,E,E,17.0,26.0,85.0,72.0,1013.5,1013.8,4.0,0.0,10.3,16.5,No,No
2013-11-07,Ballarat,19.9,32.2,0.0,,,E,40.0,SSE,W,20.0,4.0,87.0,43.0,1014.9,1019.2,,,23.1,30.8,No,No
2010-08-06,Dartmoor,12.4,17.2,0.0,,,ESE,56.0,ESE,E,13.0,17.0,92.0,60.0,1014.6,1008.1,,,14.3,17.6,No,No
2012-03-12,Newcastle,15.7,24.7,,,,,,,,,,,,,,,,11.7,22.7,No,No
2016-04-12,Portland,11.0,16.5,4.0,,,WSW,22.0,W,WSW,4.0,13.0,89.0,60.0,1011.0,1018.4,,,15.6,16.8,No,Yes
2009-11-11,SydneyAirport,9.7,50.8,0.0,4.0,4.0,WNW,38.0,NW,NNW,0.0,7.0,46.0,52.0,1010.2,1012.4,5.0,6.0,22.0,39.3,No,No
2015-09-21,NorahHead,16.1,21.3,0.0,4.0,7.2,S,35.0,S,S,23.0,9.0,56.0,35.0,1013.1,1013.8,0.0,0.0,16.0,20.7,No,No
2009-04-03,Darwin,13.3,13.8,0.0,7.6,,NNW,37.0,N,NNE,24.0,30.0,74.0,70.0,1011.1,1013.7,4.0,5.0,11.6,12.5,No,No
2010-07-24,Dartmoor,14.2,27.0,0.0,,,W,59.0,WNW,W,20.0,20.0,75.0,50.0,1019.4,1017.0,,,25.4,27.6,No,No
2012-01-04,Darwin,9.4,26.0,0.0,4.8,4.0,ENE,31.0,NW,W,13.0,17.0,91.0,89.0,1020.5,1004.1,5.0,1.0,13.3,25.3,Yes,Yes
2015-11-26,Sydney,2.2,16.0,0.0,,11.6,E,39.0,N,E,6.0,33.0,92.0,68.0,1008.3,1005.6,,,11.6,15.3,No,No
2016-11-17,Albury,13.5,30.3,0.2,6.4,11.3,ESE,37.0,E,ESE,15.0,26.0,70.0,55.0,1018.2,1013.9,3.0,1.0,22.3,30.3,No,No
2013-08-12,AliceSprings,9.6,27.9,0.0,,,NW,,NW,NW,7.0,20.0,100.0,51.0,,,,,23.2,26.9,No,No
2009-01-04,Sydney,14.1,24.1,0.0,7.4,9.4,ESE,59.0,E,ENE,11.0,19.0,65.0,35.0,1013.4,1005.5,8.0,7.0,15.4,18.7,No,No
2011-06-06,Dartmoor,,,,,,N,51.0,N,W,,,67.0,,1015.3,1015.5,,,,,No,No
2014-05-30,Witchcliffe,8.5,30.6,0.0,,,ESE,33.0,ESE,WNW,0.0,31.0,69.0,66.0,1022.7,1022.6,,,30.4,30.2,No,No
2010-10-14,Mildura,18.8,25.3,0.0,1.6,10.8,ENE,37.0,NE,E,20.0,26.0,69.0,52.0,1017.0,1008.7,1.0,1.0,16.4,24.2,No,No
2016-05-10,Walpole,19.4,21.5,0.0,5.4,10.2,W,31.0,NW,WNW,11.0,13.0,72.0,35.0,1024.5,1025.0,5.0,4.0,18.1,18.3,No,No
2014-06-08,Sydney,9.4,25.8,0.0,9.0,,ESE,31.0,N,WNW,19.0,20.0,92.0,50.0,1021.0,1020.3,8.0,8.0,11.4,23.4,Yes,Yes
2012-10-18,Townsville,20.2,22.5,0.0,,,E,30.0,,,24.0,24.0,74.0,70.0,,,,,14.0,21.6,No,No
2015-11-07,Watsonia,12.2,15.3,0.0,0.0,6.0,SSE,63.0,SSW,NE,9.0,22.0,59.0,56.0,1021.4,1020.8,1.0,1.0,10.3,16.7,No,No
2012-12-11,Sale,9.0,13.8,0.0,,,NW,44.0,,NW,15.0,26.0,52.0,62.0,1013.9,1016.3,,,12.5,11.4,No,No
2008-11-15,MountGambier,9.0,16.6,0.0,,,,,S,S,11.0,19.0,43.0,62.0,1020.1,1024.5,,,11.4,11.3,Yes,No
2010-01-09,NorfolkIsland,9.5,18.0,0.0,,,ENE,43.0,ESE,N,24.0,11.0,66.0,58.0,1006.1,1018.7,,,13.7,16.3,No,No
2010-03-18,Witchcliffe,11.8,16.5,0.0,,,W,43.0,ESE,W,19.0,26.0,87.0,69.0,1027.4,1026.4,3.0,4.0,15.0,15.6,No,No
2010-03-15,Woomera,15.3,31.3,0.0,,,SE,48.0,ESE,SE,17.0,20.0,58.0,60.0,1021.9,1020.7,,,31.6,31.8,No,No
2014-04-11,Newcastle,13.5,22.4,0.0,,,NNW,,W,N,11.0,20.0,60.0,80.0,1022.8,1021.8,,,15.0,19.8,No,No
2011-11-08,Wollongong.0,9.6,21.0,0.0,,,WSW,46.0,W,WNW,0.0,14.0,64.0,38.0,1015.5,1014.1,5.0,3.0,10.7,17.6,Yes,No
2011-09-08,Cobar,4.0,20.3,0.2,0.0,,ENE,26.0,NNE,NE,30.0,9.0,94.0,19.0,1012.4,1018.3,0.0,0.0,9.7,19.7,No,No
2012-07-27,Richmond,2.8,15.1,0.0,,,W,39.0,S,SSW,7.0,9.0,64.0,48.0,1007.9,1011.8,,,14.9,16.8,Yes,No
