Gender,Age,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,NObeyesdad
Female,20.0,1.73,60.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Obesity_Type_III
Female,25.0,1.79,82.0,no,yes,3.0,2.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Overweight_Level_I
Female,21.0,1.65,86.0,yes,yes,2.0,3.0,Sometimes,no,1.0,no,0.0,0.0,Sometimes,Public_Transportation,Obesity_Type_I
Female,23.0,1.8,62.0,no,no,2.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Frequently,Public_Transportation,Insufficient_Weight
Male,28.0,1.622998,66.0,yes,yes,3.0,3.0,Frequently,no,1.0,no,1.0,0.0,no,Public_Transportation,Normal_Weight
Male,19.0,1.8,75.0,no,yes,3.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Obesity_Type_III
Female,29.0,1.67897,80.0,yes,yes,2.878662,3.0,Sometimes,no,2.849093,no,0.0,0.889568,Sometimes,Public_Transportation,Obesity_Type_I
Female,25.0,1.65,118.0,yes,yes,3.0,3.0,Sometimes,no,1.0,no,1.0,0.0,no,Public_Transportation,Obesity_Type_I
Male,18.0,1.65,114.0,yes,yes,1.0,3.0,Sometimes,no,2.0,no,0.0,1.0,Sometimes,Public_Transportation,Obesity_Type_I
Male,23.0,1.75,65.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,3.0,1.0,no,Public_Transportation,Normal_Weight
Female,19.0,1.62,103.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,3.0,0.0,Sometimes,Public_Transportation,Obesity_Type_III
Male,33.974259,1.818794,71.945981,yes,yes,2.72398,2.0,Sometimes,no,2.0,no,0.92488,0.0,Sometimes,Public_Transportation,Overweight_Level_II
Male,21.0,1.71,60.0,no,no,2.0,3.0,Sometimes,no,1.0,no,2.0,1.0,Sometimes,Automobile,Insufficient_Weight
Female,20.0,1.62,112.0,yes,yes,2.0,3.0,Always,no,1.0,no,2.0,0.0,Sometimes,Public_Transportation,Obesity_Type_II
Female,30.0,1.89,80.0,yes,yes,3.0,3.0,Sometimes,no,1.0,no,0.0,0.0,no,Automobile,Obesity_Type_III
Male,18.0,1.8,60.0,yes,no,3.0,3.0,Sometimes,no,2.0,no,1.0,1.0,no,Public_Transportation,Insufficient_Weight
Male,18.0,1.6,133.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Obesity_Type_III
Female,21.0,1.7,105.0,yes,yes,2.0,3.0,Sometimes,no,3.0,no,1.0,0.0,Sometimes,Public_Transportation,Obesity_Type_III
Female,20.0,1.6,55.0,yes,yes,3.0,1.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Automobile,Normal_Weight
Female,21.0,1.65,133.0,yes,no,2.0,3.0,no,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Obesity_Type_II
Female,20.0,1.65,108.0,yes,yes,2.0,1.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Obesity_Type_I
Male,44.0,1.55,83.0,no,yes,2.0,2.0,Sometimes,no,1.0,no,0.0,1.0,Sometimes,Public_Transportation,Overweight_Level_II
Male,18.838981,1.7,80.0,yes,yes,3.0,1.012957,Sometimes,no,2.0,no,1.829249,0.983537,Sometimes,Public_Transportation,Overweight_Level_II
Female,24.0,1.66,65.0,yes,no,3.0,1.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Insufficient_Weight
Female,21.0,1.6,57.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Overweight_Level_II
Female,20.0,1.59,80.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,1.0,0.0,no,Public_Transportation,Overweight_Level_I
Male,21.0,1.58,80.0,yes,yes,1.0,3.0,Sometimes,no,2.0,no,3.0,1.0,Sometimes,Public_Transportation,Obesity_Type_I
Female,19.0,1.7,113.0,yes,yes,2.0,3.0,Frequently,no,2.0,no,1.0,0.0,Sometimes,Walking,Obesity_Type_I
Female,24.0,1.79,80.0,yes,yes,2.0,3.0,Sometimes,no,1.0,no,1.0,2.0,Sometimes,Automobile,Obesity_Type_II
Male,26.0,1.65,66.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
Female,20.0,1.65,75.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Obesity_Type_II
Male,19.0,1.7,76.0,no,yes,3.0,3.0,Frequently,no,1.0,no,1.0,0.0,no,Public_Transportation,Normal_Weight
Male,18.0,1.75,112.0,yes,yes,2.0,1.0,Sometimes,no,1.0,no,0.0,0.0,Sometimes,Public_Transportation,Obesity_Type_II
Male,22.0,1.65,65.0,yes,yes,3.0,3.0,Sometimes,no,2.0,yes,1.0,1.0,no,Public_Transportation,Normal_Weight
Female,23.0,1.84779,133.93393,yes,yes,2.419948,3.0,Sometimes,no,2.0,no,0.093529,1.912982,no,Public_Transportation,Obesity_Type_I
Male,26.0,1.85,59.9078,yes,yes,2.527095,3.0,Sometimes,no,2.0,no,1.0,0.144837,Sometimes,Public_Transportation,Overweight_Level_II
Male,31.990894,1.791621,111.953637,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.579822,1.0,Sometimes,Public_Transportation,Obesity_Type_I
Male,22.0,1.7,90.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,0.0,no,Public_Transportation,Overweight_Level_I
Female,25.0,1.86,68.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Obesity_Type_I
Female,24.0,1.69,118.0,yes,yes,2.0,1.0,Frequently,no,2.0,no,0.0,2.0,Sometimes,Public_Transportation,Obesity_Type_I
Male,25.0,1.8,56.0,yes,yes,3.0,3.0,Sometimes,no,3.0,no,1.0,1.0,no,Public_Transportation,Insufficient_Weight
Male,18.0,1.6,111.0,no,yes,2.0,1.0,Sometimes,no,1.0,no,0.0,2.0,Sometimes,Public_Transportation,Obesity_Type_I
Male,21.0,1.8,80.0,yes,yes,2.0,2.0,Frequently,no,2.0,no,1.0,1.0,no,Public_Transportation,Overweight_Level_II
Female,21.0,1.64,51.0,yes,yes,3.0,1.0,Frequently,no,2.0,no,1.0,0.0,no,Public_Transportation,Overweight_Level_I
Female,25.0,1.63,89.0,yes,yes,3.0,3.0,Sometimes,no,1.0,no,0.0,0.0,Sometimes,Automobile,Obesity_Type_III
Female,26.0,1.6,58.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,1.0,Sometimes,Public_Transportation,Overweight_Level_II
Male,29.0,1.7,70.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,1.0,Sometimes,Public_Transportation,Overweight_Level_II
Male,17.0,1.65,65.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight
Female,18.0,1.7,60.0,yes,yes,2.0,2.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Insufficient_Weight
Male,23.0,1.8,83.0,yes,yes,3.0,3.0,Sometimes,no,1.0,no,0.0,0.0,no,Public_Transportation,Overweight_Level_I
Female,19.0,1.6,111.0,yes,yes,1.0,3.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Obesity_Type_III
Male,21.8,1.64,80.0,yes,yes,2.0,2.0,Sometimes,no,2.0,yes,1.0,1.0,Sometimes,Automobile,Obesity_Type_I
Male,26.0,1.79,84.0,yes,yes,2.0,1.0,Sometimes,no,1.0,no,0.0,0.0,Sometimes,Public_Transportation,Overweight_Level_I
Male,25.0,1.59,80.0,no,no,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,no,Public_Transportation,Overweight_Level_I
Male,24.0,1.7,79.0,no,yes,2.0,1.0,Frequently,no,2.0,no,0.0,1.0,Sometimes,Walking,Insufficient_Weight
Male,22.0,1.75,106.0,yes,yes,2.0,3.0,Sometimes,no,2.0,yes,0.0,0.0,no,Public_Transportation,Obesity_Type_I
Male,21.917014,1.918662,78.316531,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.331429,0.0,Sometimes,Public_Transportation,Overweight_Level_I
Male,25.0,1.7,50.0,no,no,2.0,3.0,Sometimes,no,1.0,no,0.0,1.0,no,Public_Transportation,Overweight_Level_II
Male,24.0,1.8,82.0,yes,yes,3.0,2.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Overweight_Level_II
Male,19.0,1.76,65.0,yes,yes,3.0,1.0,Always,no,2.0,no,1.0,0.0,Always,Automobile,Overweight_Level_II
Female,26.0,1.7,102.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,3.0,0.0,Sometimes,Public_Transportation,Obesity_Type_III
Female,18.0,1.66,82.0,yes,yes,3.0,3.0,Sometimes,no,1.0,no,1.0,0.0,Sometimes,Public_Transportation,Obesity_Type_III
Female,19.934353,1.742183,52.007799,yes,yes,2.0,3.0,Sometimes,no,2.912881,no,1.0,0.843113,Sometimes,Public_Transportation,Overweight_Level_II
Male,18.079574,1.635967,80.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,1.0,Sometimes,Public_Transportation,Overweight_Level_I
Male,18.0,1.835503,111.622186,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,1.0,Sometimes,Public_Transportation,Obesity_Type_II
Female,26.0,1.75,85.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,1.0,1.0,no,Walking,Insufficient_Weight
Female,23.0,1.78,81.0,no,yes,2.0,3.0,Sometimes,no,1.0,no,2.0,0.0,no,Public_Transportation,Insufficient_Weight
Female,26.0,1.65,132.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Walking,Obesity_Type_I
Male,23.0,1.7,103.0,yes,yes,2.0,3.0,Sometimes,no,1.0,no,0.0,1.0,Sometimes,Public_Transportation,Obesity_Type_I
Female,20.0,1.724961,98.262633,yes,yes,2.0,4.0,Sometimes,no,1.0,no,0.0,0.0,no,Public_Transportation,Obesity_Type_I
Female,23.0,1.65,99.0,no,no,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Obesity_Type_III
Male,25.907321,1.603716,108.927018,yes,yes,1.254919,3.0,Sometimes,no,1.95899,no,1.0,0.0,Sometimes,Public_Transportation,Obesity_Type_I
Male,21.0,1.78,82.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,2.0,0.0,no,Public_Transportation,Obesity_Type_I
Male,22.0,1.58,107.0,yes,yes,3.0,2.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Obesity_Type_I
Male,19.0,1.859151,105.610512,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.729522,0.0,Sometimes,Automobile,Overweight_Level_II
Male,19.0,1.6,41.0,yes,no,3.0,3.0,Sometimes,no,2.0,no,0.0,0.0,no,Public_Transportation,Normal_Weight
Female,19.292404,1.583742,102.00121219,no,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,0.977331,Sometimes,Public_Transportation,Obesity_Type_II
Female,17.934398,1.879796,117.927861,yes,yes,3.0,3.0,Sometimes,no,2.0,no,2.845802,0.537936,Sometimes,Public_Transportation,Obesity_Type_III
Female,23.0,1.6,107.0,yes,yes,2.0,3.0,Sometimes,no,3.0,no,3.0,2.0,no,Public_Transportation,Obesity_Type_III
Male,18.0,1.69,64.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Overweight_Level_I
Female,17.0,1.6,53.0,yes,yes,2.0,3.0,Frequently,no,2.0,no,1.0,1.0,no,Automobile,Insufficient_Weight
Female,18.0,1.71,103.936393,yes,yes,2.0,3.0,Sometimes,no,2.290562,no,0.0898,1.0,Sometimes,Automobile,Obesity_Type_I
Male,18.0,1.613448,75.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Automobile,Obesity_Type_I
Female,30.0,1.7,55.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight
Male,30.0,1.62,90.0,yes,yes,2.0,3.0,Sometimes,no,1.0,no,0.0,0.0,Sometimes,Public_Transportation,Overweight_Level_II
Male,24.0,1.56,45.9,yes,no,1.0,3.0,Sometimes,no,2.0,no,1.0,0.0,no,Public_Transportation,Normal_Weight
Male,21.0,1.71,77.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Automobile,Overweight_Level_I
Male,19.0,1.52,82.0,no,yes,1.0,3.0,Sometimes,no,3.0,no,3.0,0.0,no,Public_Transportation,Obesity_Type_II
Male,59.0,1.6,51.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,1.0,3.0,Sometimes,Public_Transportation,Obesity_Type_III
Female,25.0,1.869003,79.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.947166,0.0,Sometimes,Automobile,Normal_Weight
Male,22.0,1.82486,121.0,no,yes,2.0,3.0,Sometimes,no,1.0,no,1.0,0.0,Sometimes,Automobile,Overweight_Level_II
Male,18.814783,1.723694,111.94829,yes,no,3.0,3.0,Sometimes,no,2.816186,no,0.95533,1.0,Sometimes,Public_Transportation,Obesity_Type_III
Male,17.0,1.65,120.0,yes,yes,3.0,4.0,Sometimes,no,2.0,no,0.0,1.0,Sometimes,Public_Transportation,Overweight_Level_II
Male,21.0,1.75,89.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Obesity_Type_I
Male,29.0,1.61,117.0,yes,yes,3.0,3.0,Sometimes,no,1.0,no,3.0,1.0,Sometimes,Public_Transportation,Obesity_Type_III
Male,21.934863,1.737693,51.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,0.0,1.0,Sometimes,Automobile,Normal_Weight
Male,23.0,1.67,80.0,no,yes,2.0,1.0,Sometimes,no,3.0,no,0.0,1.0,no,Public_Transportation,Overweight_Level_I
Male,19.0,1.75,85.0,no,yes,1.0,1.0,Sometimes,no,1.0,no,2.0,2.0,no,Public_Transportation,Obesity_Type_II
Male,21.0,1.606964,78.415568,yes,yes,3.0,3.0,Sometimes,no,3.0,no,0.0,0.0,Sometimes,Public_Transportation,Obesity_Type_III
Male,19.805539,1.7,111.241867,yes,yes,2.0,3.0,Sometimes,no,1.0,no,1.0,0.0,Sometimes,Public_Transportation,Obesity_Type_I
Female,18.0,1.6,72.0,no,yes,3.0,1.0,Sometimes,no,1.0,no,1.0,0.0,Sometimes,Motorbike,Normal_Weight
Male,19.0,1.7,45.0,no,yes,2.0,2.0,Sometimes,no,2.0,no,0.0,1.0,no,Public_Transportation,Normal_Weight
Male,26.0,1.7,60.0,yes,yes,1.0,3.0,Sometimes,no,2.0,no,1.0,1.0,no,Automobile,Overweight_Level_II
Male,18.0,1.8,104.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,0.0,1.0,Sometimes,Public_Transportation,Overweight_Level_II
Male,19.0,1.62,133.0,yes,no,2.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Overweight_Level_I
Male,26.0,1.65,60.0,yes,no,2.0,3.0,Sometimes,no,1.0,no,2.0,0.0,no,Public_Transportation,Overweight_Level_II
Male,20.0,1.69,50.0,no,yes,3.0,3.0,Frequently,no,1.0,no,0.0,1.0,Sometimes,Automobile,Insufficient_Weight
Female,22.922168,1.8,55.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,2.0,0.0,Sometimes,Automobile,Overweight_Level_II
Male,27.0,1.77,58.0,yes,yes,2.0,3.0,Frequently,no,1.0,no,2.0,1.0,Sometimes,Public_Transportation,Insufficient_Weight
Female,21.0,1.58,120.0,yes,yes,3.0,3.0,Sometimes,no,2.0,no,1.0,2.0,Sometimes,Public_Transportation,Overweight_Level_I
Male,22.0,1.65,84.738268,yes,yes,1.0,3.0,Sometimes,no,1.0,no,1.0,1.0,no,Public_Transportation,Overweight_Level_I
Female,23.0,1.6,60.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,1.0,Sometimes,Public_Transportation,Normal_Weight
Male,18.0,1.65,129.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,1.0,Sometimes,Public_Transportation,Obesity_Type_III
Female,24.0,1.7,87.95989,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight
Male,17.0,1.6,40.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,0.0,no,Public_Transportation,Normal_Weight
Female,23.0,1.77,98.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,1.0,no,Public_Transportation,Overweight_Level_I
Female,25.0,1.6,59.0,yes,yes,3.0,3.0,Sometimes,no,1.0,no,2.0,0.0,no,Public_Transportation,Normal_Weight
Female,23.0,1.62,121.0,yes,no,2.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Automobile,Obesity_Type_II
Male,21.0,1.8,80.0,no,no,2.0,1.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Overweight_Level_II
Male,18.251543,1.868797,107.8177655,yes,yes,3.0,3.0,Sometimes,no,2.832129,no,0.0,0.0,Sometimes,Public_Transportation,Obesity_Type_I
Female,23.0,1.65,80.0,yes,yes,3.0,3.0,Frequently,no,1.0,no,0.0,0.0,Sometimes,Public_Transportation,Obesity_Type_III
Female,20.0,1.6,112.0,yes,yes,2.0,1.0,Sometimes,no,2.0,no,1.0,1.0,no,Automobile,Obesity_Type_I
Female,25.0,1.57,58.0,no,yes,2.0,1.0,Frequently,no,1.0,no,0.0,0.0,Sometimes,Public_Transportation,Obesity_Type_II
Male,22.0,1.72,49.0,yes,yes,3.0,3.0,Sometimes,no,2.0,yes,1.0,0.0,no,Automobile,Normal_Weight
Female,21.035914,1.706937,133.425627,yes,yes,2.0,1.620948,Sometimes,no,2.723796,no,0.0,0.0,Sometimes,Public_Transportation,Obesity_Type_I
Male,19.0,1.69,50.0,no,yes,2.0,3.0,Frequently,no,2.0,no,1.0,1.0,Sometimes,Automobile,Overweight_Level_II
Male,18.0,1.737794,118.0,yes,yes,3.0,1.0,Sometimes,no,2.0,no,0.0,1.0,Sometimes,Walking,Obesity_Type_II
Female,18.0,1.6,83.0,yes,yes,3.0,3.0,Frequently,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Obesity_Type_III
Male,18.0,1.6,82.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Normal_Weight
Female,27.0,1.8,75.0,yes,yes,3.0,3.0,Sometimes,no,3.0,no,2.0,1.0,Sometimes,Public_Transportation,Overweight_Level_II
Male,21.0,1.62,112.0,yes,yes,3.0,3.0,Sometimes,no,1.0,no,3.0,0.0,Sometimes,Public_Transportation,Obesity_Type_III
Female,39.0,1.65,65.0,no,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,2.0,Sometimes,Automobile,Overweight_Level_II
Female,25.0,1.61,129.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,2.0,Sometimes,Public_Transportation,Obesity_Type_II
Female,19.0,1.6,80.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,2.0,1.0,Sometimes,Walking,Overweight_Level_I
Male,22.0,1.62,111.0,yes,yes,2.0,3.0,Sometimes,no,1.0,no,1.0,0.0,no,Public_Transportation,Overweight_Level_II
Male,18.0,1.7,129.0,no,yes,3.0,3.0,Sometimes,no,2.0,no,0.0,1.0,Sometimes,Public_Transportation,Obesity_Type_III
Female,19.0,1.8,114.0,yes,yes,2.0,3.0,Sometimes,no,1.0,no,1.0,0.0,Sometimes,Automobile,Obesity_Type_II
Male,22.737778,1.663927,85.979233,yes,yes,1.991748,3.0,Sometimes,no,1.0,no,0.0,0.540918,Sometimes,Automobile,Normal_Weight
Male,23.0,1.64,68.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,1.0,0.0,Sometimes,Public_Transportation,Normal_Weight
Male,18.0,1.64,50.0,yes,yes,2.0,4.0,Frequently,no,2.0,no,0.0,0.0,Sometimes,Public_Transportation,Normal_Weight
Male,22.0,1.723497,114.937991,yes,yes,3.0,3.0,Sometimes,no,2.0,no,0.0,1.7807,Sometimes,Public_Transportation,Obesity_Type_III
Male,22.0,1.62,77.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,2.0,0.0,Sometimes,Public_Transportation,Obesity_Type_I
Female,20.897965,1.651743,50.0,yes,yes,1.0,3.0,Sometimes,no,1.0,no,0.0,0.0,Sometimes,Automobile,Insufficient_Weight
Female,21.0,1.75,78.0,yes,yes,2.0,3.0,no,no,2.0,no,1.0,1.0,Sometimes,Public_Transportation,Overweight_Level_II
Female,37.0,1.78,75.0,yes,yes,3.0,3.0,Frequently,no,3.0,yes,2.0,1.0,Sometimes,Public_Transportation,Obesity_Type_III
Male,19.0,1.58,111.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,2.0,1.0,Sometimes,Public_Transportation,Obesity_Type_II
Male,45.63391,1.74907,108.639539,yes,yes,3.0,3.0,Sometimes,no,2.0,no,1.0,0.0,no,Public_Transportation,Obesity_Type_III
Female,22.0,1.65,65.0,yes,yes,2.0,3.0,Sometimes,no,2.0,no,0.0,1.0,Sometimes,Public_Transportation,Normal_Weight
Male,21.0,1.7,111.207595,yes,yes,2.0,1.0,Sometimes,no,2.0,no,1.0,1.0,no,Public_Transportation,Overweight_Level_II
Male,19.876151,1.548867,120.822787,yes,yes,2.0,3.0,Sometimes,no,3.0,no,0.804922,0.0,no,Public_Transportation,Obesity_Type_II
Male,25.0,1.607469,107.967186,yes,yes,2.0,3.0,Sometimes,no,1.0,no,0.0,0.0,Sometimes,Public_Transportation,Obesity_Type_I
