game_id,rated,turns,victory_status,winner,time_increment,white_id,white_rating,black_id,black_rating,moves,opening_code,opening_moves,opening_fullname,opening_shortname,opening_response,opening_variation
13710.0,True,52.0,Resign,Black,15+0,roxh,1500.0,kovarz,1248.0,e4 e6 Nf3 Bc4 d6 d4 c5 Bf5 Nc3 Nxe4 Bxe4 Nxe4 Qd2+ Kf1 Qe7+ Nc6 Bd,B01,4.0,Queen's Gambit Refused: Mieses-Kotroc Variation,Queen's Gambit,,Mieses-Kotroc Variation
3197.0,False,52.0,Resign,Black,20+0,fawn_n_m_b,1521.0,elbamat,1494.0,e4 c6 d4 d5 exd5 Nc3 Bg4+ Bd2 Nf6 Bg4 g5 Qf3 e5 B,D00,4.0,Van't Kruijs Opening,Van't Kruijs Opening,,#2
10413.0,True,33.0,Out of Time,Black,10+0,nikolasfergus,1539.0,lance_mohammad,1485.0,e4 e5 Nf3 d5 c3 dxc3 Bf4 Nf6 Bc5 Nh6 Bg5 f6 O-O Nd4 a6 Nc3 Qh5 Bf2 Bxc3 Bxc,C00,5.0,Queen's Gambit,Queen's Gambit,,#2
1807.0,True,15.0,Mate,White,10+0,nimcha,1346.0,zhaikov,1341.0,e4 c5 Nf3 Nc6 Nc3 e6 Bc4 d6 Bf4 Bd7 O-O e5 e3 Nbd7 O-O a6 Nc6 Bb5 d5,A00,4.0,Sicilian Defense: Baltic Defense,Sicilian Defense,,Baltic Defense
6.0,True,45.0,Resign,White,15+35,dannycoco,1375.0,ryanas,1340.0,e4 e6 Bc4 d6 Nc3 Nf6 Bb5 Bd6 O-O O-O a3 Bxf6 Bxf6 d4 d5 exd5 Qxd5,C00,4.0,Italian Game: Dutch Variation,Italian Game,,Dutch Variation
4863.0,True,66.0,Resign,White,10+0,vladimir-turkasov,1589.0,bakhtaliya,1558.0,e4 e5 Nf3 Nc6 Nf3 d6 d3 g5 a3 Nh4 Qe2 Nc4 Qe7 g4 Qe7 Ng4 Nge5 d5 Nh5 Qh5,C44,7.0,Scotch Game: Grob Gambit,Scotch Game,,Grob Gambit
1608.0,True,43.0,Mate,Black,10+0,joseph_brah,1776.0,nikolas_chess,1631.0,e4 e5 Bc4 Nf3 Nc6 Bc2 d5 Bb5 Bd3 d3 Ne5 Qe7 Nf3 O-O Nh4 Nf6 Nf4 Nc3 O-O Bd5 dxe4 Nxe4 Bd6 Be3 Nc3 Nh4 B,D50,9.0,Scotch Game,Scotch Game,,Scotch Gambit
1609.0,False,98.0,Resign,White,10+0,efriedman,1603.0,chesslovingboy123,1576.0,e4 c6 d4 Nf6 Nc3 d5 Nf3 Bg4 Qa4 d4 Qb3 Nbd7 d5 Ng5 Bg5 Qf6 Qxd5 Qb6 Nf,C00,4.0,Sicilian Defense,Sicilian Defense,,Chigorin Defense
4374.0,True,24.0,Resign,White,10+0,kokol,1849.0,miesik,1783.0,e4 c5 Nf3 Nc6 Nc3 Nge2 Bb4 d5 a3 O-O e6 Nd4 Nbd7 Nc2 Nxd4 Bxc6 Qxd4 Bf4+ Nbd7 Nxd4,B00,2.0,Philidor Defense,Philidor Defense,,Normal Variation
16783.0,True,64.0,Mate,White,10+0,jhaykhali,1434.0,dolomanno,1483.0,e4 e5 Nf3 Nf6 d4 Bd7 Bd3 Nb6 O-O Nc3 Nd5 Bb7 Nc3 O-O O-O Nxd6 Bxd6 Bxd6 d5 c6 e4,B04,3.0,Queen's Pawn Game: Chigorin Defense,Queen's Pawn Game,,Chigorin Defense
1809.0,True,36.0,Resign,Black,15+0,karl_st,1052.0,chess_chess,1204.0,e4 c5 Nf3 d6 Bb5 g6 Bg3 Nc6 Nxe4 Nxe4 Bg7 Bxc5 d5 f6 Ng5 Bg4 Nxf6+ Q,C44,1.0,Sicilian Defense,Sicilian Defense,,Italian Variation
739.0,True,54.0,Resign,White,4+4,amadar,1190.0,sveenemyshne,1189.0,e4 c6 d4 c5 Nf3 Nc6 c3 Bb4 Nf6 Bg5 Be2 O-O Nxf6+ Qxf6 Nd5 Nxd5 Qxd5 Nxc8 bxc8 Bxc8 Qa5+,D20,3.0,Nimzo-Indian Defense: Urusov Gambit |  Normal Variation,Nimzo-Indian Defense,,Urusov Gambit
2042.0,False,33.0,Resign,White,10+0,zhuyitk,1420.0,2041,1382.0,Nf3 Nf5 d4 Nc3 e6 d5 dxc3 c6 g3 Bg7 Bxc6 dxc6 Nf3 Nc3 Nxc3 Nb6,C50,4.0,King's Pawn Game: Najdorf Variation,King's Pawn Game,,Najdorf Variation
3306.0,True,72.0,Mate,White,10+0,jimcubel11,1794.0,gaben_,1815.0,e4 e5 Nf3 d6 Nc3 Nc6 Bg2 e5 Bxe5 Nxe5 Nd3 Qd7 Nf6 Qxd,C41,8.0,Sicilian Defense: Bowdler Attack,Sicilian Defense,,Bowdler Attack
15232.0,True,40.0,Resign,White,12+0,kovtitje,1383.0,egyptianw,535.0,e4 c5 e5 dxe5 Nf3 Bg4 Nc6 Nc3 Qd7 Qa4 Nxe4 Nxe4 Nxe4 Qd2 Qc7 Ng1 Nf7 Nd7 Nxd7#,A43,2.0,Van't Kruijs Opening: Modern Line,Van't Kruijs Opening,,Modern Line
16782.0,False,44.0,Resign,White,5+5,mr_u_chess,1500.0,alex_riaqua,1321.0,e4 c5 Nf3 Nf6 Bd3 d6 Nc3 Bc4 a6 Na3 d5 Nf5 Bg5 e5 Bg3 g6 N,C00,4.0,King's Fianchetto,King's Fianchetto,,West Indian Defense
1308.0,True,180.0,Resign,White,30+0,sassypocyanov,1290.0,draktos,1787.0,e4 e5 Nf3 Nf6 Nc3 Bb4 Nc6 Bb5 O-O d3 Nc5 Bd3 d4 exd4 d5 exd5 exd5 Nxd5 dxe,C00,4.0,Italian Game: Berlin Defense,Italian Game,,Berlin Defense
6455.0,True,58.0,Out of Time,White,15+0,zakoskass,1169.0,hgw,2323.0,e4 e5 Nf3 Nc6 Bc4 Nf6 Bc2 d6 d4 exd4 exd4 Bxd4 Ng5 Bd7 Qxd7#,C50,4.0,Philidor Defense,Philidor Defense,,Classical Variation
15451.0,True,47.0,Mate,Black,5+5,ahannadoomg,1650.0,mohammad_m,1533.0,e4 e6 d4 d5 exd5 c4 cxd5 Nf3 Nf6 Bf4 Nf6 Qb5 Bb5+ Nbd7 Bxd7+ Qxd7 Nc4 Nc6 O-O a,A04,4.0,French Defense: Anti-Fried Liver Defense,French Defense,,Anti-Fried Liver Defense
11354.0,True,15.0,Resign,White,9+0,kazakh,1691.0,kazakh,1722.0,d4 d5 Nf3 Nc6 Nf3 Bc5 Ng5 Nh4 g6 Nf3 Bg7 h3 h6 e3 Qh4 O-O h6 Bh4 Bd6 Nxe3 Nxf3 gxf3 Bf6 B,C00,5.0,French Defense: Schmidt Variation,French Defense,,Schmidt Variation
9041.0,True,3.0,Mate,White,10+0,amarok,1374.0,shahua,1230.0,e4 e5 Nc6 Bc4 d5 exd5 Nxd5 c6 Bf5 d4 Nf6 Nf3 h6 Bg5 Bf6 Nd5 Bb6 O-O Bg7 e5 h4 h,B10,1.0,King's Knight Attack: Hanham Variation,King's Knight Attack,,Hanham Variation
1607.0,True,51.0,Mate,Black,10+0,samuel_chess,1731.0,mrancourt,1818.0,e4 e5 Nf3 Nc6 Nf3 d6 Nc3 Nc,D02,9.0,King's Gambit Refused: Schmidt Variation,King's Gambit Refused,,Schmidt Variation
9923.0,True,51.0,Mate,White,7+2,vladimir-s-kramnik,1366.0,tjuh,1842.0,e4 e5 d6 dxe5 Qd8 Nc6 d4 Qxf6 Nxf6 Nxf6,B00,4.0,Queen's Gambit Accepted,Queen's Gambit,,Advance Variation
604.0,True,71.0,Out of Time,Black,10+0,roman_gordon,1852.0,kakstantov,1791.0,e4 e5 Nf3 Nf6 Nc3 d6 Bc4 Nge7 d3 d6 Nf3 Nf6 dxe5,C42,7.0,Sicilian Defense: Leonardis Variation,Sicilian Defense,,Leonardis Variation
1389.0,True,29.0,Out of Time,White,10+0,dannycj,1234.0,chris_gordon,1476.0,d4 d5 exd4 Nf6 e3 e6 Bg5 Qf3 Qe7 f3 Qc8 Nc3 f6 Qf3 Nc6 e4 Bg5 Bxh2 Bxh,C00,3.0,French Defense: Exchange Variation #2,French Defense,,#2
2176.0,True,68.0,Mate,White,10+0,naz_c,1342.0,chess_jones,1652.0,e4 d5 exd5 exd5 Nxd5 Nf3 Nf6 Be3 Bf7 O-O Bd3 Qd7 O-O e5 Qd2 Qe2 Nc6 Bd,A00,7.0,French Defense: Six Pawns Attack,French Defense,,Six Pawns Attack
6966.0,True,50.0,Resign,Black,15+0,elijah-mayer,1345.0,alexandchess,1270.0,e4 e5 Nf3 d6 Nc3 d4 exd4 Nxd4 Qxd4 Nf6 Bd3 Bxf3 Bxf3 gxf3 Ne4 Nxe4 Qxe4,B00,3.0,Sicilian Defense: Anti-Torre,Sicilian Defense,,Anti-Torre
1925.0,False,53.0,Resign,Black,10+0,maroclino,1489.0,ed_seanjo,1599.0,e4 c5 Nc3 Nf6 d4 Nd7 e5 Nf3 Be7 Nf3 Nbd2 Nxe5 Qxe5 Nxe5 Qf3 Qxe5 Qxd7 Qf6 Qxd2 Qxd7,C44,4.0,Italian Game: Modern Line,Italian Game,,Modern Line
12179.0,True,39.0,Resign,Black,10+0,chessfian,1499.0,danny22,1788.0,e3 e5 Nf3 Nc6 Bc4 Nge7 Bb3 Bf5 d6 d4 exd4 Nxd4 Nxd4 Nf6 Bc5 Be3 Bg4 Nbd2 Bb7,C00,5.0,Benoni Defense #2,Benoni Defense,,Old Benoni
7234.0,True,76.0,Resign,White,10+5,yum,1434.0,mccloudmiller,1439.0,e4 d5 d4 c6 e5 Nf3 Nc6 Bb5+ c6 Be2 g5 Nh3 f5 dxe5 Bxg5 Bxf3,B50,5.0,Sicilian Defense,Sicilian Defense,,Boi Variation
8529.0,True,49.0,Resign,White,15+0,samuelam_bordon,1676.0,sveenemand,1631.0,d4 d5 c4 c5 Nc3 Nc6 Nf3 Bf5 Bg5 Nc3 Bxe3,C41,4.0,Sicilian Defense: Kieseritzky Variation #4,Sicilian Defense,,Kieseritzky Variation #4
858.0,True,90.0,Mate,White,10+0,yotastri,1500.0,mr_r_k_d,1340.0,e4 e5 Nf3 Nc6 Bc3 Nf6 d4 Nde2 Nc3 d5 exd5 exd5 Bc5 Bb5+ Bd7 Bxb5 Nxb5 N,B20,4.0,Sicilian Defense,Sicilian Defense,,Two Knights Defense
708.0,True,47.0,Resign,White,10+0,edgink,1546.0,dpot,1611.0,d4 c5 Nf3 Nc6 Nf3 e6 Nc3 Nf6 Bf4 d5 exd5 Nxd5 cxd5 Qa4,C01,6.0,French Defense: Chigorin Defense #2,French Defense,,Chigorin Defense #2
15931.0,True,52.0,Out of Time,White,10+0,gonzalo,1239.0,alexander,1289.0,e4 e5 Nf3 Nc6 c3 d6 Bc4 d3 Nc5 d4 e5 Nd5 Nb4 Nd7 Nd3 Bb4 O-O Nxc6 bxc6 Bxc6,D02,2.0,Van't Kruijs Opening,Van't Kruijs Opening,,Wing Gambit
4994.0,True,39.0,Resign,Black,10+0,crutch,1682.0,kakuk,1661.0,e4 c5 e5 Nf3 Nc6 Bb5 f4 exf4 Nxd4 Qxd4 Bc5+ c6 Bf4 d6 a4 a5 a6 B,A44,4.0,Queen's Pawn Game: Chigorin Variation,Queen's Pawn Game,,Chigorin Variation
9862.0,False,54.0,Resign,Black,8+8,jk_m_t_e,1411.0,mlbv,1229.0,e4 e5 Nc6 Nf3 d5 exd5 Nxd5 Nxd5 c4 Bb4+ Kd2 Nf6 Bxc4 Nxc4 B,B01,3.0,Philidor Defense: Modern |  Modern,Philidor Defense,,Modern
1548.0,True,52.0,Resign,Black,10+0,nakowitsch,961.0,mr_m_p_k_s_d,1489.0,e4 e6 c5 d3 d5 c3 Nf6 Nf3 Nc6 e5 Nxe4 dxe4 Nxe4 Nc,C30,6.0,Queen's Pawn Game: #3,Queen's Pawn Game,,#3
588.0,True,31.0,Resign,Black,10+0,thebadger,1531.0,jaydur,1589.0,e4 d5 exd5 Nc3 Nf6 Nc3 e6 Be2 c6 Bc4 Nc6 O-O Bd2 a6 d4 Bg4 h3 Nb4 Bd2 B,D02,5.0,Sicilian Defense: Staunton-Cochrane Variation,Sicilian Defense,,Staunton-Cochrane Variation
996.0,True,36.0,Resign,Black,5+5,nikolot,1482.0,chrisward,1387.0,e4 c5 Nf3 d6 d4 d5 c3 e5 Nf6 g3 Bg2 O-O c4 d5 Bd3 Qa5 dxc4 Qc,C70,3.0,French Defense: Knight Variation,French Defense,,Knight Variation
2797.0,True,48.0,Resign,Black,15+0,thelkington,1684.0,jpotato,1493.0,d4 d5 c4 d6 Nf3 e6 b3 Bb4 c5 e3 Nf6 O-O O-O a6 Nc3 Nbd7 Bb5 Bb3 g6 Be3 c5 Nf4,C21,5.0,Scandinavian Defense: Schilling-Kostic Gambit,Scandinavian Defense,,Schilling-Kostic Gambit
